Latitude,Longitude,Confiança
-12.532226338811494,-52.525290937790224,1.0
-12.031896259293184,-52.20706652963183,1.0
-12.898395378349665,-52.02512073979133,1.0
-12.194086185868631,-52.58076344167599,1.0
-11.104112810258142,-52.46658973320033,1.0
-12.300515389416312,-53.218788235364926,1.0
-12.961113724655744,-53.88607586680625,1.0
-11.925889227356617,-52.28903932583244,1.0
-11.770802092585052,-53.766407733950324,1.0
-12.383069738906133,-52.61824965989272,1.0
-11.09220203546662,-52.256306816752286,1.0
-11.351466064478137,-53.4568803340747,1.0
-12.609997127630796,-53.74973941216408,1.0
-12.886814238379232,-52.07634595644158,1.0
-11.692206868701938,-53.36942098155497,1.0
-11.749746943097955,-53.14913576190638,1.0
-12.820868379473588,-53.35496609000038,1.0
-12.542616092236797,-52.234128197424276,1.0
-11.666768430214766,-52.759817429513916,1.0
-11.96516167504564,-53.13677192074539,1.0
-12.796543750931827,-53.45659203740981,1.0
-12.37686336683626,-52.560516364052695,1.0
-11.710221433420731,-53.63045434385492,1.0
-12.884803905158314,-53.17997089936294,1.0
-11.568641170641035,-52.2064165725964,1.0
-11.176330360101183,-52.88834777991447,1.0
-11.864691531328875,-53.37660155016351,1.0
-12.52526380817078,-53.955943614763086,1.0
-11.518650304550986,-53.44599973825126,1.0
-12.507390156770088,-53.49701185980662,1.0
-11.493718852945793,-53.19106429660079,1.0
-12.29278895247017,-53.1213098320341,1.0
-12.812028396916398,-53.09870346084099,1.0
-12.342839040305204,-52.30571403862865,1.0
-11.57403422722186,-52.74158115781653,1.0
-11.809579382361006,-53.67125346422583,1.0
-12.102228143518717,-53.45178523539294,1.0
-12.907953008256822,-52.293453737207756,1.0
-12.939625773187776,-53.27847387540853,1.0
-11.48652246498454,-52.34048842602711,1.0
-12.989455735200082,-52.96371689448009,1.0
-11.204476878311468,-53.21494280310872,1.0
-12.786790424232194,-52.24813050698017,1.0
-12.751511642277881,-52.1478952034323,1.0
-12.275795172833213,-52.00911110446525,1.0
-12.091302946743678,-53.210952039900285,1.0
-12.381917577480833,-53.493353983120215,1.0
-12.660418507736352,-53.34645477211734,1.0
-11.157632629945358,-52.55156827411307,1.0
-11.442009627747558,-52.75395865080345,1.0
-11.993497281932223,-53.55574065193564,1.0
-12.792584826782413,-53.08225718044263,1.0
-11.43573098207076,-53.42976522678036,1.0
-12.88773086016454,-52.16740078362809,1.0
-12.927213129605123,-53.55692976508259,1.0
-11.264917644701496,-53.588077582323194,1.0
-11.146068113078096,-52.675223826520536,1.0
-11.453684115313308,-52.74618589108388,1.0
-12.186292431783668,-52.72124953252508,1.0
-12.133253608164987,-52.32304710928837,1.0
-12.291163682081844,-53.55810399365865,1.0
-11.90707903054755,-52.09023323114527,1.0
-12.863213273625684,-53.70595906339341,1.0
-11.758146879512202,-53.6818747792642,1.0
-12.86922161907764,-53.398053743067926,1.0
-12.874193087983452,-53.8054060996342,1.0
-12.321588209763659,-53.99827267390443,1.0
-12.746847167481185,-52.84271919084969,1.0
-12.360408515615482,-53.841493111837195,1.0
-11.015543836089147,-53.66721455082913,1.0
-11.257686530545222,-52.29097688849802,1.0
-12.955788726420847,-52.911552601560395,1.0
-11.642764982896715,-52.436763315415675,1.0
-12.819191312682111,-52.75768422518558,1.0
-12.371483859082964,-52.481487967035065,1.0
-12.79002545006273,-53.40756103212339,1.0
-11.551065002117245,-53.55808072850874,1.0
-11.276011013611829,-52.10886925693751,1.0
-11.601535354025483,-53.17035510336911,1.0
-11.733304215930918,-53.30936657848514,1.0
-12.296931768868683,-53.542424492286884,1.0
-11.169230264456548,-53.75251660829988,1.0
-12.363155357685892,-52.76056303601647,1.0
-12.60080364477023,-52.53473811219116,1.0
-12.686276828361382,-53.70237755028292,1.0
-11.302428677128365,-53.96354407161323,1.0
-11.264164509617805,-52.77553376445739,1.0
-11.10159894793552,-53.69722476099082,1.0
-12.445589006126133,-52.77097649700237,1.0
-11.827776727474435,-53.38755032977146,1.0
-11.149789042326498,-52.47907474424963,1.0
-11.580319473956097,-53.17390077504178,1.0
-11.837975297100899,-53.00145629655175,1.0
-11.056337492287344,-53.36012248494799,1.0
-11.382643261996204,-52.22624039912352,1.0
-12.513774414314176,-53.56109767061868,1.0
-11.97644023955801,-53.98086609231615,1.0
-12.540649330009446,-53.64631340965386,1.0
-12.414653126876793,-53.120609487189185,1.0
-12.75490777433546,-53.05422650888121,1.0
-11.886907434081406,-52.823718448680516,1.0
-12.426269440804631,-53.948736310675095,1.0
-12.40715762746161,-52.109421275380726,1.0
-12.49748347083007,-52.29551196069685,1.0
-12.659430384139567,-52.55968771957553,1.0
-11.418118025618954,-52.69010969503488,1.0
-12.13178420550774,-52.969979520982285,1.0
-12.072749820224363,-53.09765612940509,1.0
-12.022741657717898,-52.499737313267616,1.0
-11.612979512086591,-52.0796781140579,1.0
-11.66518579376035,-53.611714954394856,1.0
-11.186419302924664,-52.642938370709714,1.0
-12.196641046726217,-52.11968926022605,1.0
-11.754297927230377,-53.74418107958176,1.0
-12.557452135495218,-52.92496844279861,1.0
-12.177974129576882,-52.44953090942265,1.0
-12.016746029067878,-52.16297393167353,1.0
-11.406588848724626,-53.85276392784439,1.0
-11.507212779587658,-53.33747171663922,1.0
-12.591361104886992,-53.095126356721835,1.0
-12.382836770850144,-52.979026074671516,1.0
-11.492555289752202,-52.13904765265687,1.0
-12.62192805044511,-53.08128079297369,1.0
-11.352475765805895,-53.85310556240748,1.0
-11.8519546554553,-52.219784303738734,1.0
-11.902905367833064,-52.2708850106356,1.0
-12.691971258035013,-52.80545553788971,1.0
-12.097708942515606,-52.82240973979782,1.0
-11.879698414027777,-52.45557982727987,1.0
-11.107524915276379,-53.8975405544431,1.0
-11.008982119351153,-52.74144184718677,1.0
-12.04530482483895,-53.74422654577383,1.0
-11.688389513499008,-52.9584749054206,1.0
-11.809411471902555,-53.69163119771932,1.0
-11.708698816308784,-52.71631218268656,1.0
-12.46294061743665,-53.37326877086886,1.0
-11.325597613203346,-52.11585376555817,1.0
-12.632181008259579,-52.59625558817605,1.0
-12.167094180997736,-52.089349439421305,1.0
-12.551153047236506,-53.34849392883388,1.0
-11.664514256328456,-52.413353427995496,1.0
-11.981071212535992,-53.82995642456062,1.0
-12.39826321840343,-52.67254403343173,1.0
-12.39534128625757,-53.4880312008318,1.0
-11.977914930076416,-53.597396818504016,1.0
-11.666955909520674,-52.390082008687486,1.0
-11.347209832496997,-53.57618569745949,1.0
-12.489150562871988,-52.585611879647544,1.0
-11.16380856148194,-52.74538331007914,1.0
-12.184310161775965,-52.76805127787241,1.0
-11.330710957524836,-53.474948015220676,1.0
-11.582310208569238,-53.21104504914019,1.0
-12.33976989798013,-52.28117649151306,1.0
-11.547057974919213,-53.54872004535239,1.0
-11.62981061778938,-53.90232636592874,1.0
-12.828138382735547,-52.8733083378061,1.0
-12.736653753149426,-53.24839400672676,1.0
-11.13749835543115,-52.75869569256879,1.0
-12.937172377617964,-53.55815759538213,1.0
-11.327764024765052,-53.109396327210504,1.0
-12.16217602339625,-52.99681371763354,1.0
-11.420493649777985,-52.54198500516177,1.0
-11.705183878442615,-52.46063331523755,1.0
-12.242119716754546,-52.82169345385914,1.0
-11.56320728821866,-53.86799026560664,1.0
-12.186267288637787,-53.19715549196663,1.0
-11.751561920873614,-53.83035396539456,1.0
-12.125175985086159,-52.84101927865082,1.0
-11.684196473969008,-53.33962709693412,1.0
-11.322116702407131,-52.484356736457556,1.0
-12.56299916756298,-53.40586060439134,1.0
-11.962989968631312,-53.51912620384706,1.0
-11.811904163677015,-52.33661408784582,1.0
-12.272143378028224,-53.736369506261696,1.0
-12.826749175373868,-52.82459130957023,1.0
-12.140941367198522,-52.42099060080961,1.0
-11.136643015788998,-53.119365638968866,1.0
-12.648833693598906,-53.775963457585846,1.0
-11.272372654868006,-52.5413235998952,1.0
-12.595876232527443,-53.041094005976305,1.0
-11.013384502894008,-52.77369029868654,1.0
-12.62408271720737,-52.43616487038041,1.0
-11.074961083217008,-52.41530971476492,1.0
-11.1217760755179,-52.95579517165565,1.0
-11.628669398215873,-52.05971407861466,1.0
